building_num,temperature,precipitation,windspeed,humidity,sin_weekday,cos_weekday,sin_hour,cos_hour,month_6,month_7,month_8,holiday,DI,CDH,day_hour_mean,day_hour_std,hour_mean,hour_std,weekday_mean,weekday_std
11,0.05218452,0.022125358,0.0052496716,0.013668977,0.0063218563,0.011043841,0.0074847583,0.004270397,0.043710116,0.033804547,0.0187852,0.006543437,0.055132106,0.017398618,0.6409539,0.0064244512,0.049615674,0.0052826726,0.0,0.0
12,0.043011233,0.0027061726,0.0030065926,0.025009265,0.0065407394,0.009632742,0.004085052,0.008494337,0.09486155,0.016247628,0.008328799,0.060905356,0.077841826,0.051703185,0.52446115,0.012710115,0.017157914,0.03329626,0.0,0.0
13,0.055118017,0.030366598,0.023143753,0.02519779,0.027103735,0.020939494,0.014116122,0.009050084,0.032927997,0.065760925,0.034273867,0.03440988,0.09924768,0.09730576,0.3699222,0.018806785,0.02591253,0.016396794,0.0,0.0
14,0.014942861,0.027367864,0.026852528,0.027710972,0.05128736,0.022256887,0.021316703,0.015360894,0.037248652,0.014157565,0.02547048,0.047688007,0.0345178,0.024342285,0.46400753,0.030575441,0.09452807,0.020368174,0.0,0.0
15,0.015747994,0.013150516,0.0076818755,0.013983527,0.0116262445,0.012273606,0.020058848,0.008871368,0.042275093,0.019016488,0.0042382143,0.018418184,0.07831851,0.08063201,0.60625595,0.01927556,0.015962167,0.01221385,0.0,0.0
16,0.012181255,0.00097441796,0.0025462066,0.007017725,0.0025171284,0.0021150867,0.061857756,0.020958627,0.13673224,0.004523169,0.002715459,0.0009998622,0.0437353,0.0029089965,0.6489595,0.0052864715,0.038455576,0.0055152313,0.0,0.0
17,0.010597776,0.0016862161,0.0099905655,0.01546277,0.0021103378,0.012460947,0.007688366,0.0037047556,0.030006578,0.006899845,0.030984774,0.023239082,0.009741553,0.021882191,0.76586777,0.018704114,0.020471683,0.00850079,0.0,0.0
18,0.0055957567,0.0038794468,0.0043948237,0.00910602,0.013080987,0.018026937,0.0021001452,0.013482964,0.22551157,0.007824154,0.004391086,0.026014205,0.013523791,0.008660989,0.6178433,0.0049255188,0.014208804,0.0074295225,0.0,0.0
19,0.0044250283,0.00058950746,0.012900863,0.013747799,0.008419718,0.010757058,0.0013270965,0.014269524,0.032290537,0.0061580944,0.0037041313,0.003245563,0.011114813,0.047312763,0.81438136,0.0029097197,0.011435255,0.0010111585,0.0,0.0
20,0.002001607,0.0011840189,0.007862337,0.0099558905,0.01716039,0.008416697,0.0044518816,0.007936775,0.019713655,0.0023722865,0.004850167,0.026806898,0.0037814677,0.03607433,0.7945656,0.019504959,0.032417037,0.0009441085,0.0,0.0
21,0.006524582,0.0021441693,0.0065110945,0.009946905,0.020321133,0.016714001,0.007785274,0.0034494633,0.030460767,0.0059420243,0.014249212,0.01999553,0.0039264075,0.034617797,0.79281855,0.010275883,0.0052772355,0.009039991,0.0,0.0
22,0.0065453625,0.0031258801,0.0054284735,0.009002206,0.004097548,0.007669184,0.00458802,0.00738812,0.06832388,0.0020718484,0.0059151393,0.0045949006,0.010401452,0.004221775,0.8313594,0.0071334713,0.014288031,0.003845288,0.0,0.0
23,0.007638764,0.000994807,0.007238861,0.011326106,0.0044114753,0.010411527,0.013338552,0.0069852653,0.015031368,0.002562544,0.005505501,0.018967897,0.0074450863,0.08090021,0.77445346,0.010117098,0.0018610395,0.020810433,0.0,0.0
24,0.009234251,0.0004042088,0.010714462,0.011729794,0.0021624598,0.011039862,0.0011889287,0.0092924815,0.15171462,0.0023199923,0.00032528315,0.0013655035,0.0155414725,0.012619004,0.5365912,0.0018647013,0.19773676,0.024155034,0.0,0.0
25,0.011864502,0.0013351204,0.014870078,0.01182256,0.0015776503,0.019678123,0.0016658797,0.0023568452,0.03563052,0.0023222063,0.0039974935,0.0011299683,0.004759087,0.022784395,0.784006,0.010306323,0.055878017,0.0140151605,0.0,0.0
26,0.016159702,0.0029322903,0.006624552,0.012356993,0.0025964547,0.0037819238,0.0037674,0.027865916,0.015422509,0.0032094629,0.0020838496,0.0019993472,0.014749469,0.055930577,0.7605512,0.008754861,0.013812206,0.04740131,0.0,0.0
27,0.023740849,0.00048743683,0.0043900753,0.008632707,0.0033599776,0.0036023196,0.0070571224,0.005098949,0.0681314,0.0025236874,0.008061774,0.0051869713,0.03303559,0.10334886,0.64488846,0.0068807425,0.06140405,0.010169033,0.0,0.0
28,0.037687875,0.002066244,0.009950058,0.018293623,0.0050560134,0.013992532,0.02650475,0.0023929446,0.009991753,0.003663408,0.008387669,0.008963865,0.010313711,0.010700499,0.73927104,0.005872669,0.040030356,0.046860892,0.0,0.0
29,0.007797102,0.0024596036,0.008227225,0.026755312,0.004383461,0.033818275,0.0034650064,0.024062052,0.016158372,0.0056852656,0.013967199,0.010868806,0.05954855,0.0445735,0.68841124,0.01445401,0.017236479,0.018128507,0.0,0.0
